Accession ID	Collection date	Submission date	Location
EPI_ISL_14908638	2021-05-28	2022-09-10	South America / Brazil / Sao Paulo / Sorocaba
EPI_ISL_14908639	2021-05-28	2022-09-10	South America / Brazil / Sao Paulo / Itanhaem
EPI_ISL_14908640	2020-01-02	2022-09-10	South America / Brazil / Sao Paulo / Hortolandia
EPI_ISL_14908641	2020-01-18	2022-09-10	South America / Brazil / Sao Paulo / Mogi das Cruzes
EPI_ISL_14908642	2020-01-21	2022-09-10	South America / Brazil / Sao Paulo / Santa Cruz das Palmeiras
EPI_ISL_14908643	2020-01-15	2022-09-10	South America / Brazil / Sao Paulo / Pindamonhangaba
EPI_ISL_14908644	2020-01-21	2022-09-10	South America / Brazil / Sao Paulo / Cunha
EPI_ISL_14908645	2020-01-14	2022-09-10	South America / Brazil / Sao Paulo / Ourinhos
EPI_ISL_14908646	2020-01-28	2022-09-10	South America / Brazil / Sao Paulo / Osvaldo Cruz
EPI_ISL_14908647	2020-02-10	2022-09-10	South America / Brazil / Sao Paulo / Bastos
EPI_ISL_14908648	2020-02-08	2022-09-10	South America / Brazil / Sao Paulo / Moji Mirim
EPI_ISL_14908649	2020-02-17	2022-09-10	South America / Brazil / Sao Paulo / Guaruja
EPI_ISL_14908650	2020-02-14	2022-09-10	South America / Brazil / Sao Paulo / Conchal
EPI_ISL_14908651	2020-02-27	2022-09-10	South America / Brazil / Sao Paulo / Sao Paulo
EPI_ISL_14908652	2020-03-19	2022-09-10	South America / Brazil / Sao Paulo / Porto Feliz
EPI_ISL_14908653	2020-03-16	2022-09-10	South America / Brazil / Sao Paulo / Mogi Guacu
EPI_ISL_14908654	2020-02-04	2022-09-10	South America / Brazil / Sao Paulo / Lorena
EPI_ISL_14908655	2021-01-14	2022-09-10	South America / Brazil / Sao Paulo / Santos
EPI_ISL_14908656	2021-01-21	2022-09-10	South America / Brazil / Sao Paulo / Birigui
EPI_ISL_14908657	2021-02-04	2022-09-10	South America / Brazil / Sao Paulo / Barueri
EPI_ISL_14908658	2021-02-22	2022-09-10	South America / Brazil / Sao Paulo / Cubatao
EPI_ISL_14908659	2021-02-10	2022-09-10	South America / Brazil / Sao Paulo / Sao Vicente
EPI_ISL_14908660	2021-02-20	2022-09-10	South America / Brazil / Sao Paulo / Castilho
EPI_ISL_14908661	2021-03-18	2022-09-10	South America / Brazil / Sao Paulo / Ubatuba
EPI_ISL_14908662	2021-03-18	2022-09-10	South America / Brazil / Sao Paulo / Ubatuba
EPI_ISL_14908663	2021-03-02	2022-09-10	South America / Brazil / Sao Paulo / Andradina
EPI_ISL_14908664	2021-03-25	2022-09-10	South America / Brazil / Sao Paulo / Tiete
EPI_ISL_14908665	2021-04-02	2022-09-10	South America / Brazil / Sao Paulo / Ilhabela
EPI_ISL_14908666	2021-04-06	2022-09-10	South America / Brazil / Sao Paulo / Pirajui
EPI_ISL_14908667	2021-04-09	2022-09-10	South America / Brazil / Sao Paulo / Piracicaba
