2023,2022,2021,2020,NM_MUN
3358,1333,10,1057,Adamantina
19,190,118,11,Adolfo
12,10,21,2153,Aguaí
11,,1,27,Águas da Prata
5,22,4,4,Águas de Lindóia
8,50,29,,Águas de Santa Bárbara
1,25,11,21,Águas de São Pedro
2797,260,16,40,Agudos
2,1,115,3,Alambari
575,308,10,168,Alfredo Marcondes
13,44,37,2,Altair
52,12,8,27,Altinópolis
13,341,210,32,Alto Alegre
15,7,13,8,Alumínio
28,443,60,87,Álvares Florence
2124,640,29,432,Álvares Machado
121,130,124,14,Álvaro de Carvalho
123,18,8,27,Alvinlândia
678,4498,439,728,Americana
456,3629,29,33,Américo Brasiliense
6,477,17,288,Américo de Campos
589,34,16,68,Amparo
10,93,5,21,Analândia
3128,1959,2214,1139,Andradina
15,17,56,8,Angatuba
120,8,21,4,Anhembi
204,292,8,7,Anhumas
298,56,26,710,Aparecida
30,392,10,24,Aparecida d'Oeste
1,5,2,,Apiaí
125,5,1,2,Araçariguama
997,2819,1264,2430,Araçatuba
62,29,93,41,Araçoiaba da Serra
8,14,,10,Aramina
81,,,,Arandu
,,,5,Arapeí
797,20928,368,234,Araraquara
64,2951,219,897,Araras
213,106,27,40,Arco-Íris
382,42,1,8,Arealva
15,4,,22,Areias
35,16,1,1,Areiópolis
77,68,16,363,Ariranha
98,381,62,152,Artur Nogueira
114,105,26,65,Arujá
30,235,15,11,Aspásia
3599,482,650,947,Assis
659,1138,93,186,Atibaia
23,341,558,179,Auriflama
20,50,12,6,Avaí
51,314,19,57,Avanhandava
338,96,33,16,Avaré
242,1208,909,187,Bady Bassitt
162,7,1,,Balbinos
17,449,97,14,Bálsamo
2,4,6,3,Bananal
299,95,5,13,Barão de Antonina
165,571,229,33,Barbosa
285,20,3,99,Bariri
179,344,14,12,Barra Bonita
2,,,1,Barra do Chapéu
,12,9,163,Barra do Turvo
852,2021,79,55,Barretos
323,488,347,641,Barrinha
170,59,63,40,Barueri
1691,647,14,766,Bastos
786,1365,5,39,Batatais
14367,3816,423,820,Bauru
342,528,8,319,Bebedouro
42,69,27,44,Bento de Abreu
40,7,1,12,Bernardino de Campos
1424,157,509,58,Bertioga
10,176,54,63,Bilac
1776,9662,631,630,Birigui
13,61,11,6,Biritiba Mirim
