2023,2022,2021,2020,NM_MUN,Average Maximum Temperature,Average Temperature,Average Precipitation,Average Rainfall,Municipalities
3358,1333,10,1057,Adamantina,29.666666666666668,0.9899375355551464,10.424999999999999,-0.9437395318162523,0
19,190,118,11,Adolfo,29.25,1.2461117072874852,10.424999999999999,-1.1293956359386579,1
12,10,21,2153,Aguaí,27.75,-0.7008119978782996,11.525,0.5955610783125568,2
11,0,1,27,Águas da Prata,27.333333333333332,-1.008221003957108,11.591666666666669,0.6502003747789615,3
5,22,4,4,Águas de Lindóia,26.166666666666668,-1.4693345130753206,11.933333333333332,0.9856739046963487,4
8,50,29,0,Águas de Santa Bárbara,27.666666666666668,-0.06891570760519522,10.516666666666666,-0.2594753674663719,5
1,25,11,21,Águas de São Pedro,27.916666666666668,-0.39340299179949123,10.891666666666666,-0.33624455820053034,6
2797,260,16,40,Agudos,28.0,0.016475682972251795,10.416666666666666,-0.31861897869523864,7
2,1,115,3,Alambari,26.88888888888889,-0.8203599446867241,10.888888888888891,-0.7847176367240664,8
575,308,10,168,Alfredo Marcondes,29.777777777777775,0.8020764762847625,10.322222222222223,-0.3053018741801288,9
13,44,37,2,Altair,29.416666666666668,0.6312936951298685,10.797222222222222,-0.5410929600064771,10
52,12,8,27,Altinópolis,27.833333333333332,-0.6495771635318323,11.6,0.6942643235421928,11
13,341,210,32,Alto Alegre,29.375,1.1692594557677831,10.358333333333333,-1.1117700564333661,12
15,7,13,8,Alumínio,25.604166666666664,-1.3540561357957674,11.385416666666666,-0.1876021710392358,13
28,443,60,87,Álvares Florence,29.625,0.9130852840354443,10.683333333333334,-0.5765399587893407,14
2124,640,29,432,Álvares Machado,29.75,0.7849981981692727,10.35,-0.3080436309920632,15
121,130,124,14,Álvaro de Carvalho,28.027777777777775,0.20433674224263565,10.513888888888888,-0.6276541393546863,16
123,18,8,27,Alvinlândia,27.583333333333332,0.016475682972251795,10.625,-0.6535049892957814,17
678,4498,439,728,Americana,27.833333333333332,-0.3421681574530239,11.091666666666667,-0.12591264277071476,18
456,3629,29,33,Américo Brasiliense,27.833333333333332,-0.39340299179949123,11.016666666666666,-0.107112024631738,19
6,477,17,288,Américo de Campos,29.729166666666664,1.0283636613149976,10.783333333333333,-0.552157907140354,20
589,34,16,68,Amparo,26.666666666666668,-1.0594558383035775,11.758333333333333,0.8752202731298542,21
10,93,5,21,Analândia,27.395833333333332,-0.9954122953704917,10.877083333333333,0.07120008803013206,22
3128,1959,2214,1139,Andradina,29.75,0.9387027012086769,10.458333333333334,-1.407879792122268,23
15,17,56,8,Angatuba,26.75,-0.7520468322247691,10.816666666666668,-0.7063817278116565,24
120,8,21,4,Anhembi,27.333333333333332,-0.5641857729543852,10.727777777777776,-0.58026091446268,25
204,292,8,7,Anhumas,29.444444444444443,0.6996068075918279,10.41111111111111,-0.17604762447465547,26
298,56,26,710,Aparecida,27.833333333333332,-0.5983423291853649,12.958333333333334,0.7694667960981039,27
30,392,10,24,Aparecida d'Oeste,30.083333333333332,1.194876872941018,11.158333333333333,-0.9026131796372395,28
1,5,2,0,Apiaí,23.166666666666668,-2.647735703044087,11.633333333333333,0.4862824853797493,29
125,5,1,2,Araçariguama,25.73611111111111,-1.2473168975739592,11.713888888888889,0.2857425585639864,30
997,2819,1264,2430,Araçatuba,30.0,1.2461117072874852,10.333333333333334,-1.1552464858797529,31
62,29,93,41,Araçoiaba da Serra,26.583333333333332,-0.7008119978782996,10.924999999999999,-0.7216572300495762,32
8,14,0,10,Aramina,29.722222222222225,1.0582506480171057,12.044444444444446,1.3299602243663817,33
81,0,0,0,Arandu,26.75,-0.6666554416473199,10.569444444444445,-0.2814094219618475,34
0,0,0,5,Arapeí,23.916666666666668,-2.5452660343511497,13.041666666666666,1.4627395899729123,35
797,20928,368,234,Araraquara,28.0,-0.3421681574530239,10.991666666666667,-0.24694162204038472,36
64,2951,219,897,Araras,27.666666666666668,-0.7008119978782996,11.049999999999999,0.10321989079807761,37
213,106,27,40,Arco-Íris,28.666666666666668,0.5800588607834012,10.25,-0.5348260872934835,38
382,42,1,8,Arealva,28.833333333333332,0.47758919209046435,10.388888888888888,-0.5148504305208217,39
15,4,0,22,Areias,23.916666666666668,-2.5452660343511497,13.041666666666666,1.4627395899729123,40
35,16,1,1,Areiópolis,27.979166666666668,-0.16284623724038716,10.414583333333333,-0.29717452363046654,41
77,68,16,363,Ariranha,29.083333333333332,0.5288240264369338,10.713888888888889,-0.7490747981689206,42
98,381,62,152,Artur Nogueira,27.666666666666668,-0.5983423291853649,11.275,0.3229521152973816,43
114,105,26,65,Arujá,25.083333333333332,-1.776743519154129,12.408333333333333,1.5261916761919607,44
30,235,15,11,Aspásia,29.794374999999995,0.9978789348788483,10.848159722222222,-0.8786521834986533,45
3599,482,650,947,Assis,28.083333333333332,0.06771051731872131,10.483333333333333,0.09146950446121513,46
659,1138,93,186,Atibaia,26.083333333333332,-1.4180996787288531,12.033333333333333,0.9762735956268603,47
23,341,558,179,Auriflama,29.583333333333332,0.8874678668622096,10.491666666666667,-1.0189420043721633,48
20,50,12,6,Avaí,28.583333333333332,0.44343263585948905,10.477777777777776,-0.6237373439090648,49
51,314,19,57,Avanhandava,29.375,1.1692594557677831,10.358333333333333,-1.1117700564333661,50
338,96,33,16,Avaré,26.5,-0.9569861696106406,10.566666666666666,-0.33389448093315827,51
242,1208,909,187,Bady Bassitt,29.25,0.426354357743997,10.558333333333334,-0.8626618660919099,52
162,7,1,0,Balbinos,28.666666666666668,0.5288240264369338,10.408333333333333,-0.8203604752792102,53
17,449,97,14,Bálsamo,29.291666666666664,0.5288240264369317,10.695833333333333,-0.8544365956561065,54
2,4,6,3,Bananal,23.916666666666668,-2.5452660343511497,13.041666666666666,1.4627395899729123,55
299,95,5,13,Barão de Antonina,27.875,-0.009141734200982965,10.770833333333332,-0.09829923487909013,56
165,571,229,33,Barbosa,29.427083333333332,1.1884725186477088,10.416666666666666,-1.1050135842896711,57
285,20,3,99,Bariri,29.25,0.6312936951298685,10.316666666666666,-0.645279718859978,58
179,344,14,12,Barra Bonita,28.75,0.17018018601165597,10.424999999999999,-0.29159309012045853,59
2,0,0,1,Barra do Chapéu,23.166666666666668,-2.647735703044087,11.633333333333333,0.4862824853797493,60
0,12,9,163,Barra do Turvo,25.86111111111111,-0.06891570760519522,13.35277777777778,4.517840037556809,61
852,2021,79,55,Barretos,29.833333333333332,0.9899375355551464,11.183333333333332,-0.03425962934319901,62
323,488,347,641,Barrinha,29.916666666666668,0.682528529476338,11.358333333333334,0.1079200453328198,63
170,59,63,40,Barueri,25.416666666666668,-1.2131603413429817,12.041666666666666,0.9410224366162769,64
1691,647,14,766,Bastos,29.25,0.6312936951298685,10.266666666666667,-0.6053284053146504,65
786,1365,5,39,Batatais,27.916666666666668,-0.44463782614596076,11.616666666666667,0.9233968571109852,66
14367,3816,423,820,Bauru,28.583333333333332,0.426354357743997,10.466666666666667,-0.5395262418282277,67
342,528,8,319,Bebedouro,29.666666666666668,0.682528529476338,11.158333333333333,-0.29629324465520274,68
42,69,27,44,Bento de Abreu,29.861111111111114,1.0411723699016138,10.427777777777777,-1.1270455586712858,69
