350010 ADAMANTINA;-;2;1287;41;3;1333
350020 ADOLFO;-;20;152;15;3;190
350030 AGUAI;-;4;6;-;-;10
350050 AGUAS DE LINDOIA;-;-;22;-;-;22
350055 AGUAS DE SANTA BARBARA;-;-;50;-;-;50
350060 AGUAS DE SAO PEDRO;-;1;24;-;-;25
350070 AGUDOS;-;-;257;3;-;260
350075 ALAMBARI;-;-;1;-;-;1
350080 ALFREDO MARCONDES;-;-;305;3;-;308
350090 ALTAIR;-;5;39;-;-;44
350100 ALTINOPOLIS;-;2;10;-;-;12
350110 ALTO ALEGRE;-;9;329;3;-;341
350115 ALUMINIO;-;-;7;-;-;7
350120 ALVARES FLORENCE;-;6;435;2;-;443
350130 ALVARES MACHADO;-;-;636;2;2;640
350140 ALVARO DE CARVALHO;-;23;106;1;-;130
350150 ALVINLANDIA;-;2;16;-;-;18
350160 AMERICANA;7;184;4298;8;1;4498
350170 AMERICO BRASILIENSE;7;214;3399;5;4;3629
350180 AMERICO DE CAMPOS;-;49;427;-;1;477
350190 AMPARO;-;6;28;-;-;34
350200 ANALANDIA;1;47;45;-;-;93
350210 ANDRADINA;-;-;1942;16;1;1959
350220 ANGATUBA;2;4;11;-;-;17
350230 ANHEMBI;-;-;8;-;-;8
350240 ANHUMAS;-;-;291;-;1;292
350250 APARECIDA;-;14;42;-;-;56
350260 APARECIDA D'OESTE;-;6;386;-;-;392
350270 APIAI;-;-;5;-;-;5
350275 ARACARIGUAMA;-;-;4;1;-;5
350280 ARACATUBA;-;-;2784;30;5;2819
350290 ARACOIABA DA SERRA;-;11;18;-;-;29
350300 ARAMINA;-;4;10;-;-;14
350320 ARARAQUARA;-;-;20445;458;25;20928
350330 ARARAS;-;14;2930;2;5;2951
350335 ARCO-IRIS;-;-;100;5;1;106
350340 AREALVA;-;-;42;-;-;42
350350 AREIAS;-;4;-;-;-;4
350360 AREIOPOLIS;-;-;16;-;-;16
350370 ARIRANHA;1;1;66;-;-;68
350380 ARTUR NOGUEIRA;2;108;269;2;-;381
350390 ARUJA;1;17;87;-;-;105
350395 ASPASIA;-;36;199;-;-;235
350400 ASSIS;-;25;456;-;1;482
350410 ATIBAIA;-;1;1127;8;2;1138
350420 AURIFLAMA;-;51;288;2;-;341
350430 AVAI;-;7;43;-;-;50
350440 AVANHANDAVA;-;17;297;-;-;314
350450 AVARE;1;1;92;1;1;96
350460 BADY BASSITT;8;864;311;24;1;1208
350470 BALBINOS;-;1;6;-;-;7
350480 BALSAMO;-;1;431;17;-;449
350490 BANANAL;-;2;2;-;-;4
350500 BARAO DE ANTONINA;-;-;95;-;-;95
350510 BARBOSA;-;496;75;-;-;571
350520 BARIRI;-;-;19;1;-;20
350530 BARRA BONITA;-;1;343;-;-;344
350540 BARRA DO TURVO;-;-;12;-;-;12
350550 BARRETOS;-;-;1992;22;7;2021
350560 BARRINHA;-;101;386;1;-;488
350570 BARUERI;-;1;58;-;-;59
350580 BASTOS;-;-;638;5;4;647
350590 BATATAIS;-;29;1334;1;1;1365
350600 BAURU;-;-;3772;36;8;3816
350610 BEBEDOURO;-;-;524;2;2;528
350620 BENTO DE ABREU;-;2;65;1;1;69
350630 BERNARDINO DE CAMPOS;-;-;7;-;-;7
350635 BERTIOGA;-;12;145;-;-;157
350640 BILAC;-;13;162;-;1;176
350650 BIRIGUI;-;-;9654;6;2;9662
350660 BIRITIBA-MIRIM;-;8;53;-;-;61
350670 BOA ESPERANCA DO SUL;4;130;748;2;-;884
