name,assignment,length,begin,end,species,species-score,type,type support,major lineage,major lineage support,minor lineage,minor lineage support,minor lineage,minor lineage support
hDenV1BrazilSP-IAL-NS100782021,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS100842021,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS100852021,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS100892021,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS63782020|,1V_C,10421,27,10447,dengue virus type 1,,V,100,C,100,,,,
hDenV1BrazilSP-IAL-NS80142020|,1V_A,10421,27,10447,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-NS85302021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS88982021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS89022021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS9023RD120,1V_A,10421,27,10447,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-NS90622021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS91362021|,1V_A,10421,27,10447,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-NS91442021|,1V_D.2,10421,27,10447,dengue virus type 1,,V,100,D,100,2,100,,
hDenV1BrazilSP-IAL-NS91972021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS92252021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS92372021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS92572021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS92772021|,1V_F,10421,27,10447,dengue virus type 1,,V,100,F,100,,,,
hDenV1BrazilSP-IAL-NS92782021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS92912021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS94412021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS9453RD120,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS94872021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS95132021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS96552021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS96682021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS98022021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS98112021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS98252021|,1V_D.1,10421,27,10447,dengue virus type 1,,V,100,D,100,1,100,,
hDenV1BrazilSP-IAL-NS98282021|,1V_A,10421,27,10447,dengue virus type 1,,V,100,A,100,,,,
hDenV1BrazilSP-IAL-NS98392021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS98812021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS99242021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-NS99522021|,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-435382020|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
hDenV1BrazilSP-IAL-435412020|E,1V_E,10421,27,10447,dengue virus type 1,,V,100,E,100,,,,
